date,ndvi_mean,LST_Day_1km_mean,LST_Night_1km_mean,precipitation_mean,ET_mean
2004-04-01,0.2133215632864247,304.97970189585965,281.97544857681345,1.329785232741,6.049675123326501
2004-05-01,0.189287317071729,312.61600448210186,289.5688933870592,0.6463110657602805,4.2237437139480996
2004-06-01,0.1701790382081256,319.1887699166596,293.85761681626553,0.15162478075826127,2.1053615168571
2004-07-01,0.1799435806385436,317.60532945298377,294.9911976078559,0.14996518204681883,2.4674455115774006
2004-08-01,0.1768557097184455,316.16232439112946,292.80915475817926,0.025571485048392857,2.0919012192383
2004-09-01,0.1608793275005269,309.6721378398312,286.53189307074075,0.016966806869502343,1.8959189261942002
2004-10-01,0.1479283347399837,296.0696513027335,276.75080640360494,0.34989964209736324,3.0430538864833
2004-11-01,0.1507016488826313,286.16299130746626,274.6715766489485,1.06186679283,6.346295130388601
2004-12-01,0.1303111449778428,274.5887120865895,267.85947694380576,1.03171782799,5.7908200745608
2005-01-01,0.1170741759703539,272.80999041892846,266.3194603360478,0.8261869270744561,5.7945707956346
2005-02-01,0.0931977143786523,277.3487081351768,267.1092579573126,0.7257459556619628,5.477429331325101
2005-03-01,0.1812589678741002,293.2162979029244,276.396757394846,1.073169348563,7.537133123368701
2005-04-01,0.1997383894344997,305.9220306580195,283.725933487464,0.5843522059925541,5.324925910384501
2005-05-01,0.1855079231783414,312.9622061427414,288.82656777067507,0.7540591780075993,4.620791715439
2005-06-01,0.1720627195385138,319.707461080713,294.89122253049175,0.3367225798356835,2.6667347164180004
2005-07-01,0.1749346696036887,319.57818406645185,296.4564220552457,0.03838132302155168,1.7214164979511002
2005-08-01,0.1788519307807676,316.3800692329207,292.274730847733,0.04980899976804892,2.2326398215541
2005-09-01,0.1628820974394331,309.87600367420964,286.9755612728309,0.020331649887733904,1.7924658871695003
2005-10-01,0.147747345410396,298.640020754766,278.19682692819,0.19811812158065856,2.0181097567313997
2005-11-01,0.1304818928383755,287.76779510353333,272.49625483748275,0.5771284527834222,4.6546517343825
2005-12-01,0.1251587130052366,277.7099815468534,269.41580263105845,0.6990075676010388,4.986496566994001
2006-01-01,0.0383666513034996,265.6660798923425,258.5144820060837,0.803773515644346,5.803569491803901
2006-02-01,0.1225776120709043,281.8157469418312,271.5369733317008,0.9736499160131504,6.8272242413255
2006-03-01,0.1650794609614237,294.98346086389773,277.0783663058406,0.8769046277124933,5.5854873472935
2006-04-01,0.1923460310538868,305.61575401670115,282.2195503580838,0.7511663850807773,5.0829776884901
2006-05-01,0.1765188261318444,313.5060505838392,289.10672290902374,0.33682934382130403,3.2920817796171997
2006-06-01,0.1657609710752968,320.0119740691261,294.870063495292,0.1284431179490375,1.873151712945
2006-07-01,0.1676936657219766,318.8942023964853,294.6611229978363,0.035932867463894846,1.6445535710143002
2006-08-01,0.1662903359743998,317.63841731946377,293.72958483109466,0.020668181506202556,1.3366282538177001
2006-09-01,0.159113371017061,308.6264745640757,285.189337370775,0.10252300719131857,2.0203684044192003
2006-10-01,0.1553757641943055,298.8888673592996,281.12661314981835,0.5349941939936108,3.4639716386721
2006-11-01,0.1429446542271647,283.881119283188,273.4351857334417,0.9576328833283481,5.118266898850701
2006-12-01,0.0943479417531957,274.60276130767306,267.59085013677714,0.6044846122421471,5.415643380341801
2007-01-01,0.0961166717975376,275.841270453429,268.88672383790856,0.47622582004493613,5.604991460111
2007-02-01,0.1336878882934868,282.1810212804061,269.2928650374517,0.7680942884815211,6.2683241788351
2007-03-01,0.1591591494250845,292.7034914165256,274.4644639667603,1.469778494132,6.612494030631101
2007-04-01,0.2199574191110145,302.9736311614479,285.1694330199932,1.4327737435510002,6.6224955175102
2007-05-01,0.1865400750930781,312.8027892970989,288.4018948740716,0.4592984906618819,4.1268707382402
2007-06-01,0.1689557778867007,319.62701953315855,294.02015462211875,0.15355136749677592,1.9666326897303001
2007-07-01,0.1749755783556065,320.1632416236748,295.81618331359635,0.06700507733733697,2.0289382908838003
2007-08-01,0.1723168369862121,317.95528709975247,293.5425113790058,0.03427140928622635,1.7889615543527002
2007-09-01,0.1553233656577473,308.04099927021144,284.6407800361312,0.019152583007985488,1.8702316878590002
2007-10-01,0.1424642006800731,299.3545667177487,277.04191809225404,0.13137116419638104,1.7560183983275
2007-11-01,0.1298089201753615,287.4116051808604,272.57810998923514,0.46043126651044175,3.8109804846929998
2007-12-01,0.1057844068593741,271.8389676129927,265.5696972366874,0.9430964591470333,5.438240631157701
2008-01-01,0.0141443617376874,261.2740383463503,254.30430893690465,0.45223565996714243,5.512204248501799
2008-02-01,0.0588623931541638,273.966686454848,264.78380296996755,0.660046203898364,6.330003274619401
2008-03-01,0.1434495902640258,297.9708640279149,278.8585701849096,0.6354941785678828,3.4950090241415
2008-04-01,0.1728845760059557,305.96314083449505,283.31252208698976,0.8819209335232956,3.5332403393449
2008-05-01,0.1644509280810319,314.47579554252883,290.4440952371245,0.6304402360924314,2.9715132846748005
2008-06-01,0.1517821168772774,319.15012466262607,293.68930968502025,0.14289966280019487,1.5475064770501001
2008-07-01,0.1562043406126059,321.2441027326845,296.83147467900903,0.05577632451424945,1.0625658067808001
2008-08-01,0.156533269925818,317.4399590781736,293.0581064453008,0.022829423896375343,1.3406441604440003
2008-09-01,0.1482255773196672,307.2459019864404,284.9764272436465,0.10961956931236636,1.8772800665936
2008-10-01,0.1349323661313569,296.9025073238426,277.6739121332306,0.4572825708304339,3.7099030265149007
2008-11-01,0.120596118906812,286.31150861421327,271.878688926039,0.4041131636968361,5.6219844387992
2008-12-01,0.1008043431106481,277.1156743268185,267.5310437092068,0.5917170835329536,5.5187149480243
2009-01-01,0.0764255006339777,272.6099976070251,266.4802637371316,0.6934319165017726,6.4413461380740005
2009-02-01,0.126803750704609,282.0626667641346,270.76781239126626,1.039353072928,6.9259755193855
2009-03-01,0.1769090220608162,294.4737181652554,276.5100847882874,1.061801958049,6.0546478901448
2009-04-01,0.2232415413766331,299.60802907345044,278.40076032537013,1.352136677047,7.4655245807868
2009-05-01,0.1974060308589253,310.3766939236409,287.77824423494906,0.8164921255260448,5.9386075066434
2009-06-01,0.1656836558172781,318.34768410980166,292.70133345316395,0.1761392842096978,2.8104407835907
2009-07-01,0.1642792959886808,320.01406960014054,295.28054612526154,0.06445580222975951,1.5460370155862
2009-08-01,0.1715118730901092,315.4384485043643,291.4067984489168,0.1042124956670175,2.2510023279521003
2009-09-01,0.1637695200210454,307.68875082975273,285.9110612169269,0.14929638315389704,2.4845635383698
2009-10-01,0.146753441257487,298.9359870906062,278.0209671244699,0.13080677863316734,2.0935286065464
2009-11-01,0.1304860037944828,286.58758666100084,272.1743732276199,0.857923920647335,5.2591639946665
2009-12-01,0.1203966482138115,276.0489382759544,268.3335131466051,0.6486163389836829,5.0455457681243
2010-01-01,0.1073452806676251,275.15537443822103,266.46028024110666,0.7438214182128462,6.063241782468
2010-02-01,0.1028574636541525,275.0904888750359,267.49725490515493,1.3613379050749999,7.6063759619504
2010-03-01,0.1696248625472958,293.2390333381606,276.1780815411184,1.046579180151,6.6851491577307005
2010-04-01,0.1994641222898169,304.426833672326,283.03355152625613,0.9819865516104093,6.220848880287501
2010-05-01,0.1802418528581857,311.3984126192936,288.2478385114254,0.8138566298321724,4.920647866468901
2010-06-01,0.1699383407975334,320.03071179360154,294.8552882013801,0.244175396604783,2.8231942516729003
2010-07-01,0.174182793456059,318.9437033646421,295.3871044660272,0.04917088620003313,2.2555487972282005
2010-08-01,0.1734858255316247,317.9453289933858,293.91353849294524,0.03298042458528571,1.7015182220543001
2010-09-01,0.1617050750167691,308.5421519409512,285.286608240352,0.026368720137746174,2.1534143222668
2010-10-01,0.1457922837900541,299.35507945886184,279.6532116892135,0.316673741718271,2.5583119122297
2010-11-01,0.1327244223250743,290.264993416691,274.3698582046457,0.3569019313848259,4.7284112871135
2010-12-01,0.1197821309505966,280.69365899115166,267.6747146793149,0.2649314918192782,4.7714594260192005
2011-01-01,0.1011937071363268,274.89318259343366,263.844154295111,0.35893805725976696,5.594085361775001
2011-02-01,0.0892897314108663,275.7553065434974,265.3591716500871,1.1941827339489999,6.329736010336401
2011-03-01,0.1332528545665631,293.6249160387158,274.5993225609775,0.698484575311822,4.6402771221471
2011-04-01,0.1634641379652556,305.5596026841222,283.3047650691535,0.643137585192973,4.400498241856101
2011-05-01,0.1641188998154726,314.61520808521686,289.03535231916527,0.5117654555457714,3.6378878990631005
2011-06-01,0.1550515623289564,319.2171321538492,293.87893180541244,0.24744850328940143,2.1869707043132
2011-07-01,0.153279908502866,321.033957715053,296.20638404208995,0.02059251573242724,1.3040861831591999
2011-08-01,0.1584680559332085,317.07488712573405,292.97678782523826,0.0417690486165539,1.4931379316268
2011-09-01,0.1514599537679365,308.3745164896976,285.23934757646754,0.02244471045484552,2.1922979596455003
2011-10-01,0.1422730093277062,298.711953656612,278.59877154966625,0.5013233810771145,2.7659839744253003
2011-11-01,0.1265281432775222,282.30067427425786,269.8756295410466,1.286406877765,6.2531364613629
2011-12-01,0.1031583093429099,272.80460036114204,264.56826538086267,0.4862156095350179,5.2067523440837
2012-01-01,0.0690654075965953,270.5200340721771,264.0284661057676,0.577852334146716,5.3084843647781
2012-02-01,0.062772202143802,273.34719451994704,264.7437390081962,0.8267283279402533,6.909316966904401
2012-03-01,0.1214688111315234,288.65223193057744,274.03811853480096,1.472922991228,6.709947521719801
2012-04-01,0.1765308033408176,308.8281227382092,285.7750098351438,0.5626286760472439,4.7162137220664
2012-05-01,0.1823101664542023,314.33250555415003,290.1446179049829,0.5189228851738394,4.4927463578571
2012-06-01,0.1743343883926122,319.7158575089091,295.1891196775168,0.2108142328920185,2.9587866121507997
2012-07-01,0.1743148508883744,319.6228981703902,296.0259281256233,0.05853283938742012,2.0937768037815
2012-08-01,0.1737714717418544,317.9448330716728,294.35183669270833,0.022829097055912847,1.6369954168684
2012-09-01,0.1594948637761033,308.5999894095307,284.75840682231546,0.03774400956531982,1.9828742766986
2012-10-01,0.1408831445416945,298.22817291541776,278.571817075234,0.29321450585113035,2.8334563317604
2012-11-01,0.1345510269649369,284.41282628759853,270.22863192691534,0.6214468648492842,4.9799294350809005
2012-12-01,0.0858983257573601,272.2125276570427,265.5439122578586,0.7624022418515752,4.7273770859135995
2013-01-01,0.0803084279771671,273.8728091039987,268.08773675497383,0.7005777027518114,5.5987284288458
2013-02-01,0.1268966107321607,282.2508626426552,270.1472994641211,0.7508649821082596,6.191153179282301
2013-03-01,0.1671383851763354,295.1639410265892,276.8048820098361,1.257044401568,6.251769172989601
2013-04-01,0.2034675190481327,303.9529552706408,282.5165469351369,1.024536836482,5.794549380237401
2013-05-01,0.1868669541672322,313.55977723856176,288.1407451715751,0.3024978171401724,4.479151992039401
2013-06-01,0.1684002844605462,318.6506220097626,293.4407015264019,0.19882881955047968,2.3755285598933003
2013-07-01,0.1709981213706293,320.2146812162217,296.03996097432986,0.029238802352198535,1.6142136936813
2013-08-01,0.1735890738993005,315.7327174548061,292.2702326601012,0.04075252831464901,2.6713681135648
2013-09-01,0.1572747228107067,309.7765198385976,288.0539245442901,0.030041454123820407,1.6960895607028001
2013-10-01,0.1458104903584302,297.97645685386925,277.7428211801007,0.24689866267488692,2.8808677125157
2013-11-01,0.1313106647900919,288.55866603019024,272.8843165555869,0.3833864223141929,4.7513881001848
2013-12-01,0.1099753763560676,274.6126312892158,267.26203688123485,0.8055004157245703,5.648150854734601
2014-01-01,0.0816115966041223,271.3157709473428,264.86262930978165,0.5502654893273624,5.9383175559907
2014-02-01,0.0699592593546878,272.9331371998098,263.47194001115446,0.5535133708034939,6.065891782050101
2014-03-01,0.1444320106812442,292.1000676257214,274.7381678662572,0.9685624263632254,6.8956989449098005
2014-04-01,0.1819704491470404,301.7831488011629,279.91101739892946,0.8571309519504156,5.0411767444036
2014-05-01,0.1736694334477565,315.4145310153817,290.2453924314591,0.3445691185116798,3.8047591544040005
2014-06-01,0.160350881400677,320.05477209178207,294.514275287512,0.2004456133260496,1.9889524177962
2014-07-01,0.1597834632403692,320.048858073488,293.9132167212378,0.01923091673090364,1.563850441964
2014-08-01,0.1603505595628204,318.9166414840544,294.234871916683,0.02433056419881685,1.2275939166445002
2014-09-01,0.1537821414408538,307.7143373356212,284.80644713578715,0.08522943578518104,2.1712271418859
2014-10-01,0.1432771163400027,296.481282709511,276.483704981068,0.4833379159533992,3.4765933950521006
2014-11-01,0.1309248899210334,281.8795394609282,269.826564737854,0.9373577741930855,5.751095248419
2014-12-01,0.1224635067340512,277.3747306662437,267.3121605904085,0.3547595732678753,4.85319173365
2015-01-01,0.1114567085553919,276.29114817389404,267.7707163964087,0.6755821061022226,5.9021804443554
2015-02-01,0.136780362853291,282.3380156209114,270.3099748465025,1.400417942321,6.899724132768201
2015-03-01,0.1695479212660453,291.7499013347517,273.96716957098545,0.927682630869152,7.4056842679258
2015-04-01,0.1983975731314598,303.9756484866006,282.91287433982427,0.680095761737797,6.0451322766612
2015-05-01,0.1861881539409252,311.41123249074053,288.7258151399197,0.7215964086586485,4.8815244500875
2015-06-01,0.1702007755833541,321.0551013199054,295.62064553866486,0.12121188119502856,2.0367640888405
2015-07-01,0.1737822561179143,321.3499583591422,296.9567391623381,0.031994293517717605,1.427380881833
2015-08-01,0.1758410763178209,316.4292535703149,291.35948154191743,0.04650458753067078,2.3875532857172
2015-09-01,0.1629460201867713,308.950545074266,286.14603698981045,0.031139384436782838,2.0944146458470003
2015-10-01,0.1535265606048503,293.4316350033544,275.8796891252013,0.597783399732423,4.203340341419401
2015-11-01,0.1501049593608119,283.30732407459635,272.39148172872245,0.9609674315761486,6.218079746209701
2015-12-01,0.1439308180715973,278.3242918208454,270.02270703854106,0.5893430721210073,5.0249071520111
2016-01-01,0.1377425256155654,278.52783474398234,270.3510668947595,0.7289506079544925,5.516002911879
2016-02-01,0.1447459342464831,285.81856471817866,271.8232478484895,0.28112309129115065,5.7460415281403
2016-03-01,0.1953578870138617,294.7644173613575,278.0513835668076,1.245024705805,6.6633834889456
2016-04-01,0.2268100108313745,303.7596149294845,284.4167433254731,0.7762993785513999,6.901879685713901
2016-05-01,0.1958188131173927,312.87635508196405,290.1574238889331,0.9356963324232039,5.139151354384701
2016-06-01,0.1758316210263403,318.0355211349783,295.1601558972925,0.46221495382326133,3.1776483653821
2016-07-01,0.1803754811836201,319.88410911110265,296.33026921403547,0.0694208306173625,2.5067744160394
2016-08-01,0.1769872979879364,317.65835166604444,293.99184694575507,0.025019131670916194,2.3235572672737
2016-09-01,0.1632872212341682,309.2879791085523,287.2389286005559,0.11177514744066491,2.3078642455172003
2016-10-01,0.1516039772715837,292.9661324217088,275.3079577973804,0.3646293536382761,3.4930758545025
2016-11-01,0.1021210633767634,280.7134530013949,268.944335824326,0.673520389087835,5.3765592316782005
2016-12-01,0.1136887697284043,276.87723126226194,268.7959898674021,0.9177921885526734,5.161310961640001
2017-01-01,0.1201223351543606,275.787949624444,267.9282341900483,0.6595440986728595,5.931942595791201
2017-02-01,0.1066936208624795,278.20023464906967,268.04356835422215,1.219922442208,6.854929742188701
2017-03-01,0.1553581762442301,291.98653397008474,274.2919816456477,0.9144834897326388,7.379834340811399
2017-04-01,0.2094307307816015,303.8812878451956,282.3023940877852,0.8846243226285813,5.9666400237442
2017-05-01,0.1933777352912931,313.4247620282773,289.6843151224828,0.628153034659868,4.909759385015501
2017-06-01,0.1826462147564786,318.4900555115395,294.1479274873112,0.16248040953336632,2.6979652673934997
2017-07-01,0.1816629313401877,320.8961995329,297.1375615654548,0.0695998176215489,1.6972428183716
2017-08-01,0.1800989336452851,317.75599785844315,293.59310450309545,0.026960413060087767,2.0322932545609
2017-09-01,0.1734265065713263,308.195776412288,284.9370832873691,0.04140126362565734,2.5980880653991
2017-10-01,0.1553041779669785,298.3782202838027,280.1617213676792,0.4137215142146921,2.1635862755106
2017-11-01,0.1474144297682824,288.3033053829731,273.2096258496944,0.5056082050309801,3.7623152709386
2017-12-01,0.1016863296124579,274.09414703754595,266.13471087183814,0.4845773948869754,4.610601977204101
2018-01-01,0.1025130867868682,275.05720652765126,264.55464911993425,0.346287281934928,5.4204768168283
2018-02-01,0.1039796369459597,279.615965053232,267.05125024969306,0.8104769496093489,6.809661158460601
2018-03-01,0.1602957489714224,293.3399415479843,276.7423990746199,1.066601166091,5.6410010274475
